topic,topic_word,topic_val
0,жена,294.9623987151286
0,девушка,273.55267200453534
0,муж,220.93886908481372
0,женщина,201.7920908018785
0,смотреть,183.9335842288483
0,сосед,177.87816479865023
0,женский,177.8431594208542
0,секс,176.61413569009426
0,мужик,173.76716952004227
0,мужчина,173.51309572969254
0,друг,155.71762086033843
0,прийти,147.50368877939238
0,кошка,144.01767059055993
0,яйцо,141.13700070464984
0,любить,132.02915020934498
0,парень,130.5279323706971
0,подруга,128.11638341641094
0,мужской,127.95205882798348
0,делать,126.25802851053831
0,познакомиться,124.87526969020445
0,кот,117.5647002408928
0,интернет,117.55970222242554
0,найти,116.7143470230187
0,работа,116.53341571933711
0,заходить,114.33642929567421
0,жрать,113.65287063613735
0,дом,112.95798760839521
0,знать,109.73956998149583
0,диван,107.30265613511116
0,стоить,106.90895502357937
0,заниматься,106.5962326400974
0,читать,106.59242294070417
0,фильм,106.28152978720362
0,ночь,106.08487194678393
0,спрашивать,105.34308790437063
0,звонить,105.28711824507019
0,просить,101.17144675060631
0,сделать,100.68195215836587
0,похожий,98.38489072290507
0,идти,97.92636092085536
0,бар,97.43352820506117
0,давать,96.31491189917455
0,хороший,96.31358108060012
0,дать,95.28793044898272
0,купить,93.85506465575784
0,компьютер,92.96411259892514
0,лето,92.69073177483703
0,туалет,92.51906542330556
0,искать,91.91918480501622
0,размер,91.27426742058604
0,собака,91.1420331605915
0,думать,90.91397452529601
0,собираться,89.899241405412
0,любовница,89.45889333072638
0,свидание,87.632154688098
0,обед,87.30452524230884
0,тёща,86.20188082216613
0,говорить,85.94249608892129
0,сторона,85.68754034995071
0,получиться,84.99504851999701
0,дверь,84.81239289473716
0,заняться,84.67278787608632
0,некоторый,84.13285017212708
0,ужин,83.72758801005821
0,аптека,82.99650304478983
0,вчера,82.51397853214998
0,домой,82.29205024192547
0,дорога,82.25746639728244
0,решить,82.07188658487823
0,магазин,81.19458205888407
0,вернуть,80.77012945050141
0,дорогой,80.51542045978411
0,приходить,80.0262438086018
0,относиться,78.61473705831622
0,видеть,78.50110287950136
0,лететь,78.28677846047363
0,сесть,77.96522178063546
0,ужас,76.83230768512516
0,должный,76.72456534195229
0,приём,75.59296116222406
0,поехать,75.5868088942486
0,устать,75.50604997154247
0,место,75.03366781857925
0,книга,75.01420342407008
0,курица,74.78668687904735
0,бывший,74.45565254105553
0,посмотреть,74.1651116659931
0,зайти,74.03450589341061
0,кухня,73.17578158077896
0,газета,72.61279591236995
0,маршрутка,71.963316334704
0,момент,71.92935413417523
0,завести,71.1707684531862
0,понять,70.842268637081
0,ич,70.1690124853774
0,взгляд,67.56026451593013
0,личный,67.33594720901714
0,ребёнок,67.08174627126593
0,деньга,66.55882249082359
0,улица,66.53684488830739
0,предложение,66.2262845957506
0,дешёвый,65.83600693505419
0,весёлый,65.56575349698649
0,отвечать,65.45095415417272
0,новый,65.39646560324631
0,пробовать,63.95220443575099
0,надоесть,63.644216213152326
0,глаз,62.60857039672135
0,глядеть,62.07645227507012
0,спокойно,62.061462219021614
0,дядя,62.058595739622774
0,владимир,62.04978378350819
0,спасть,61.97428358668196
0,дело,61.8617396836066
0,поэтому,61.488514557598094
0,сразу,61.45540488058475
0,спать,61.348794265281875
0,фирма,61.19315303997993
0,успеть,61.163549600151
0,буратино,60.378528856817624
0,выбирать,60.21426898401076
0,зять,59.47834132936853
0,нужный,59.39285663863159
0,приготовить,58.97949439799412
0,одесса,58.553505431869596
0,обратно,58.12660120255746
0,доставать,58.04324187330281
0,самый,57.900008984923
0,девка,57.803091097974146
0,оргазм,57.65233703228095
0,логика,56.54759525417367
0,квартира,56.546449748826376
0,причём,56.41374429313037
0,рассказывать,56.35953301796569
0,работать,56.279059171102304
0,увидеть,55.99801558642306
0,состоять,55.847001427604965
0,змея,55.61233541039089
0,возможно,55.60401434851386
0,ный,54.83761309447962
0,жирный,52.80683834793468
0,слово,52.467688881761
0,заяц,52.337665452710986
0,тихо,52.115636129331214
0,начинать,51.76930324635856
0,мама,51.75904495434283
0,петрович,51.63042579176971
0,любой,51.5405260967144
0,найтись,51.24222670880495
0,взять,51.15525291774613
0,заработать,51.03314821494734
0,бомж,50.93899278166852
0,намного,50.63660062842081
0,сверху,50.12782153563997
0,ходить,49.94447885519115
0,продавщица,49.862231385107776
0,успех,49.72381692784087
0,советский,49.37079361436144
0,ночной,49.27767251102575
0,товар,49.04262030648852
0,любимый,48.91581425704425
0,покупатель,48.379939862076895
0,брать,48.26583772706074
0,успевать,47.688283201570336
0,постель,47.645319343459676
0,стать,47.36960238109217
0,вид,46.895109969632585
0,старик,46.71735718243762
0,начать,46.50596597741009
0,равно,46.10916314012184
0,мороженое,45.73581644472254
0,рожа,45.63627521435175
0,писать,45.40217675230079
0,утро,45.35480845808354
0,валяться,45.01050256036835
0,плохой,44.59594225095428
0,подойти,44.33992235309287
0,включать,43.87201729507486
0,скотина,43.85038265232305
0,мышка,43.71067996025411
0,одноклассник,43.696465270750956
0,ждать,43.059579608898474
0,целоваться,42.90458945959318
0,передать,42.71540176119701
0,уважать,42.66510104762955
0,документ,42.52441079839138
0,вечером,42.01105884817238
0,беременность,41.759479835430916
0,завтрак,41.656408438515115
0,маленький,41.46732079170783
0,интересоваться,41.41644802156845
0,речь,40.808815943484056
0,просьба,40.738930822478096
0,мир,40.503204034688544
0,фраза,40.49825526027797
0,мозг,40.47844994410658
0,ценить,39.65556771563033
0,снизу,39.50072919950715
0,поставить,39.47272988921824
0,бармен,39.3293193506516
0,тепло,39.005805473475505
0,вопрос,38.60749870020317
0,бросить,38.20106433444089
0,котёнок,38.10992079422045
0,вконтакте,38.07777282889798
0,сутки,37.50726660154812
0,автобус,37.472801549242945
0,солнышко,37.38588003449218
0,заводить,37.310324118823175
0,поиск,37.251128618049165
0,вернуться,37.19254676172215
0,убирать,37.15156338546555
0,целый,36.92663295401103
0,кричать,36.867792929085326
0,человечество,36.75336410085019
0,пригласить,36.59611380323212
0,кресло,35.95663229929582
0,довести,35.9492217325554
0,встать,35.64581422914879
0,очередь,35.29739318364741
0,нижний,35.28538812927682
0,пустить,35.2723981046339
0,кинотеатр,35.201238262525045
0,город,35.17994790701014
0,разговор,34.91129065814169
0,прятаться,34.8486277160897
0,танк,34.807079128877156
0,погулять,34.75632065904242
0,радостно,34.54521778365187
0,отказать,34.262447653711945
0,стоять,33.84233055833955
0,владимирович,33.73755567654337
0,пропадать,33.18867443666324
0,слышь,33.11067500508547
0,вставать,33.02439918919699
0,лестница,32.8104032504623
0,забыть,32.74564085391831
0,понравиться,32.645951080023195
0,таки,32.34868414999023
0,пассажир,32.11888569096359
0,девочка,32.08265647631091
0,сломаться,31.992007056204127
0,дить,31.921605540971683
0,головной,31.870548949780133
0,грабли,31.694221903741035
0,могила,31.607182926929834
0,возникать,31.488381803307686
0,влюбиться,31.427959901174663
0,прямо,31.336617056706924
0,мелкий,31.329311023488227
0,серёга,31.18927405542981
0,смена,31.138722051016337
0,борт,31.101587470777424
0,основное,30.572445894437628
0,сегодняшний,30.560321382646567
0,актёр,30.30946189671801
0,cекc,30.19428785348327
0,версия,30.167928459998176
0,стенка,30.065538144517284
0,холодильник,29.99158199944631
0,следующий,29.964389035092637
0,камасутра,29.793282356458832
0,огромный,29.753553512022947
0,беспокоить,29.715498596966718
0,алла,29.585818740129323
0,хватить,29.507509752847955
0,блин,29.48079159006311
0,сумка,29.431662799628835
0,впервые,29.289965017410726
0,садиться,29.222981235417116
0,худеть,29.115736205286765
0,диагноз,29.07583278931089
0,вибратор,28.93708034248338
0,недорого,28.893556983010395
0,кривая,28.876065164482178
0,сцена,28.6066395732735
0,товарищ,28.568626730809292
0,гороскоп,28.531679481998633
0,робот,28.45103279276129
0,полоска,28.392348645414312
0,развитие,28.161983958679556
0,роль,28.10225765420726
0,полоса,28.04439022487995
0,сомневаться,27.97396937272496
0,выпускать,27.947177735841045
0,член,27.60637072322576
0,бог,27.41684454449255
0,нахрен,27.34422029167671
0,социальный,27.31900080790219
0,девица,27.272358153825692
0,але,27.247883156252108
0,любовник,27.119854917159426
0,дед,27.01410734674022
0,бровь,26.985382639806105
0,доехать,26.5624348522383
0,самолёт,26.521733540405247
0,стук,26.239622752835768
0,вылезать,26.23454130350243
0,умный,26.185599239315547
0,доказывать,26.14454701828583
0,спрятать,26.02939545981156
0,единственный,25.935321312564817
0,англичанин,25.879729685906668
0,клуб,25.53901035294966
0,ветеринар,25.449638614305442
0,измена,25.391279439388676
0,паника,25.329236414227534
0,бомба,25.237045423269766
0,услышать,25.048787514851472
0,регулярно,24.916724450730204
0,шоп,24.69728111697773
0,шикарный,24.57490440735808
0,постоянно,24.56898727779102
0,вещь,24.440237797636875
0,замок,24.42736764448665
0,класть,24.392037145416197
0,поссориться,24.391358092359134
0,доктор,24.276092352819195
0,па,24.235222067389667
0,плюнуть,24.229621137220033
0,рыба,24.163702180753035
0,базар,24.15869435986552
0,селёдка,24.15257133549819
0,попасть,24.003985262296386
0,главный,23.965323425690293
0,безопасный,23.86414251785519
0,задница,23.8469354504682
0,прошлый,23.817020727323154
0,серёжа,23.7190690759977
0,пила,23.7129628478066
0,подобрать,23.65685965903503
0,ответить,23.522205051560054
0,штирлиц,23.059913732280823
0,душа,23.0324063286262
0,коридор,22.94502840512946
0,поворот,22.91788959214207
0,высота,22.683207178842174
0,пилить,22.64654259254122
0,способ,22.547022569259
0,лопата,22.45653159044294
0,явно,22.356581197655903
0,убираться,22.343450951608222
0,скрестить,22.32915310009608
0,мальчик,22.278672270448833
0,родитель,22.25865963406119
0,соглашаться,22.209777906908396
0,инвалид,22.1981722353263
0,удачный,22.107750397997556
0,возражать,21.916013898071135
0,дурак,21.84527278117882
0,мария,21.845125373078627
0,орало,21.753698107760428
0,заявление,21.735572545915254
0,верить,21.724574413958315
0,хулиган,21.650776495648376
0,воздушный,21.647146717586082
0,ёж,21.580878883701317
0,выглядеть,21.557787743285353
0,научный,21.511102869243587
0,сотрудник,21.424783962118074
0,приятель,21.41075896647598
0,появление,21.34109562616195
0,страна,21.212001551673406
0,лёжа,21.20284613878431
0,музыка,21.152727837214282
0,крутиться,21.15167940248601
0,мюллер,21.09160405367059
0,выполнять,21.081983274592794
0,шерсть,21.03323368965896
0,всякий,20.97129720205491
0,существование,20.824967004967395
0,армия,20.823323857273632
0,ресторан,20.797105033628938
0,бег,20.764426371878447
0,двести,20.734584216487026
0,угрожать,20.730610308876614
0,право,20.709320865840883
0,выходной,20.70261209617109
0,настолько,20.66254574049127
0,закурить,20.622264007207434
0,уставать,20.560250134041897
0,тр,20.453314408323298
0,съёмка,20.41893940947404
0,окончательно,20.282856177953413
0,пугачёв,20.167257915685514
0,тип,20.103729043436616
0,неловкий,19.99278269034154
0,спереди,19.83400803415807
0,валить,19.60834253583287
0,темно,19.526128330363314
0,нос,19.339855176805752
0,гнев,19.308574428212154
0,представитель,19.251975715315854
0,кондуктор,19.20979443165238
0,оставить,19.181914167161665
0,русь,19.136626763057524
0,случайно,19.1280948282039
0,марс,19.12463962764454
0,кровать,19.006132879806422
0,талантливый,18.952403926506378
0,45,18.89509130572652
0,ездить,18.693891993868327
0,случай,18.664190325737778
0,горынович,18.639124456387968
0,вспомнить,18.630317979070988
0,звезда,18.341841166794882
0,сын,18.338158125680238
0,романтический,18.32532858371279
0,перебивать,18.275388233090297
0,вздыхать,18.182606217490275
0,пират,18.13678927682249
0,осознать,18.087395943218944
0,двор,18.031116445234744
0,включить,18.005840569742617
0,песочница,17.98440189080802
0,исполнение,17.978514411182044
0,тянуться,17.954311700876527
0,мальвина,17.93088977271395
0,принести,17.907752652723573
0,отпуск,17.866605141242605
0,певец,17.838188125174725
0,башня,17.792739064916034
0,радостный,17.711524329091855
0,менять,17.589764158104504
0,обозвать,17.589510384851433
0,пролетать,17.52293192982864
0,ответ,17.458317364273498
0,тщательно,17.37486509661792
0,курсант,17.368711687319088
0,возбудить,17.132459493148993
0,бюстгальтер,16.929076387147077
0,секретарь,16.91728375587892
0,жевать,16.79225167280967
0,новенький,16.72782766271624
0,зеркальце,16.725709803036636
0,билет,16.703472729810493
0,скакать,16.672806290325237
0,обойти,16.565287665350986
0,кобель,16.474683271238685
0,маразм,16.444354818485852
0,хрень,16.374379031095433
0,ссылка,16.351164261847554
0,связь,16.282929695565702
0,отсидеть,16.190747544066987
0,музыкальный,16.16993904672039
0,выезжать,16.118770158919833
0,мужа,16.092305985439353
0,куриный,16.01069968786984
0,сарай,15.977426063891446
0,негр,15.969319610162941
0,дорожка,15.954875364615235
0,отпустить,15.926740801828249
0,удалять,15.902075383224918
0,средство,15.888281434291667
0,наблюдение,15.842769422367612
0,понимание,15.829634555755963
0,покинуть,15.763940558681215
0,раздеть,15.759891435748195
0,партизан,15.749967454001963
0,коврик,15.732056317204497
0,старшина,15.727075151594086
0,марш,15.713194831564758
0,микроб,15.674072912446565
0,администратор,15.556368590274746
0,побрить,15.451715648563512
0,рвать,15.396497680735575
0,реклама,15.299330495233752
0,гей,15.251192694924871
0,постельный,15.243614391878355
0,мило,15.18951419868635
0,подворотня,15.148055085685995
0,оскорбить,15.02149664746223
0,потеряться,14.908956023477701
0,выключать,14.855210807992698
0,завестись,14.798890091805069
0,переговоры,14.795670880854775
0,независимый,14.758684663103432
0,хать,14.751946232590806
0,коляна,14.729869228090326
0,оказывать,14.699785554795644
0,конкретно,14.680157770177734
0,получаться,14.655536184159573
0,ложечка,14.544338654663363
0,происходить,14.405366150284294
0,пошутить,14.351415626276301
0,среди,14.34564158218855
0,вроде,14.33908249409017
0,любопытный,14.334710335055718
0,небритый,14.332076715594546
0,отрываться,14.300568777171378
0,берлин,14.294471168706782
0,отряд,14.286599238071284
0,современный,14.187771690788939
0,дырочка,14.127187949367087
0,расстроить,14.103402271992785
0,спортзал,14.025360563225451
0,задеть,13.998349168311014
0,язык,13.98089278724197
0,напугать,13.968440040539921
0,дедушка,13.917672436783118
0,ключ,13.838191026542617
0,изобразить,13.807110887645525
0,существовать,13.787755567314317
0,старуха,13.747376325817061
0,воровство,13.738337275013794
0,молдаванин,13.657937869812768
0,закончиться,13.606173305174776
0,бесконечный,13.513224449903234
0,гонка,13.508314579120329
0,пузо,13.467306793790248
0,француженка,13.368002419918945
0,татарин,13.144166605940715
0,маникюр,13.121370486281812
0,домофон,13.064325036501257
0,принимать,13.049961557649953
0,берег,13.03305153344414
0,эй,12.983906340216933
0,микроволновка,12.967817961303243
0,российский,12.921109153611448
0,климат,12.886724800321366
0,спид,12.868658193012775
0,ручной,12.855211502588572
0,шкура,12.852857985764748
0,стоп,12.817779041498362
0,голубой,12.807471953866893
0,запасный,12.696504908418559
0,притворяться,12.61750963800814
0,крестьянин,12.617369737636848
0,жалкий,12.61647324056972
0,иначе,12.588520702087154
0,уй,12.580121669191293
0,крепостной,12.542740476212156
0,враньё,12.48680551027197
0,удивительный,12.471526195426586
0,доложить,12.250712644583126
0,дезодорант,12.211971602181281
0,заправлять,12.197139696884163
0,дупло,12.148076652449038
0,печальный,12.137935666421347
0,санаторий,12.034117093570162
0,белый,12.0329175823731
0,недоступный,11.999683662412926
0,дочь,11.93000071463847
0,развалиться,11.928708394729195
0,полиция,11.91692878630395
0,инструмент,11.907965644813304
0,загорать,11.904164273609172
0,тугой,11.734224474970574
0,тренажёрный,11.733722895882593
0,поинтересоваться,11.654005239791145
0,роскошный,11.590854048139047
0,закончить,11.583674666503857
0,секса,11.582406283570311
0,назло,11.57511427758661
0,аптекарь,11.50674929865139
0,запятая,11.476228594366702
0,дец,11.46360204605747
0,приступ,11.456537278424731
0,уролог,11.43456326025565
0,окружить,11.416211428655032
0,толща,11.398642235682772
0,консервы,11.370002131422183
0,ля,11.317624854968537
0,входной,11.218051749185431
0,взорваться,11.159762869261296
0,лавров,11.113637552580293
0,веник,11.06998045306462
0,лиса,11.012713319214381
0,солярий,10.99329870120886
0,привоз,10.918495265211018
0,походить,10.915760504842007
0,рыцарь,10.885832369702054
0,принять,10.859280934444921
0,игрушечный,10.84752381922187
0,запчасть,10.809688530576835
0,отворачиваться,10.794125003042813
0,насколько,10.786360437623028
0,допрос,10.738112197415807
0,потенция,10.678818550441717
0,пирамида,10.62701792119257
0,предать,10.621779598935337
0,помойка,10.616272184653035
0,убедиться,10.607871055469602
0,лёт,10.584273700742587
0,браток,10.583389986398553
0,клубника,10.582627890101426
0,системный,10.537661384440428
0,выпить,10.527261099732518
0,варёный,10.526153066342982
0,ломиться,10.490115552866428
0,просидеть,10.484344760843927
0,т9,10.46279957516771
0,лечь,10.418454897654216
0,балл,10.410483205004198
0,усталость,10.394909591385153
0,пакет,10.355886984255067
0,задаться,10.342848014502563
0,синагога,10.34189476173099
0,великолепно,10.329745130275045
0,кабина,10.299540857647038
0,намордник,10.17151020330278
0,смывать,10.077776303053362
0,накрыться,10.067219260364585
