topic,topic_word,weght_topic
2,чай,0.005730253
2,знать,0.0056520887
2,кормить,0.005363821
2,мешать,0.005251516
2,класть,0.0052502714
2,волноваться,0.0048837503
2,брат,0.004851129
2,гулять,0.004744405
2,петь,0.004718544
2,негр,0.0044736583
2,брак,0.004386609
2,больница,0.0043581156
2,умирать,0.0043039103
2,отправить,0.0042256084
2,житель,0.0041978345
2,поп,0.0041289316
2,собирать,0.0040749167
2,зима,0.003945964
2,китайский,0.0038846852
2,имя,0.003836066
2,возможно,0.003793067
2,коллега,0.0037409016
2,родственник,0.0036961755
2,привезти,0.0036478597
2,заставить,0.0036424499
2,метро,0.0035488524
2,способ,0.0034343079
2,поздравлять,0.003387683
2,родить,0.0033494348
2,вопрос_``,0.0033466308
2,симпатичный,0.0032723662
2,просить,0.0032557652
2,нож,0.0031992123
2,покупатель,0.003180446
2,приносить,0.0031171867
2,ходить,0.0030558808
2,зря,0.0029978103
2,звук,0.0029484057
2,классный,0.002844348
2,улыбнуться,0.0027990995
2,вчера,0.0027794582
2,детский_сад,0.0027421592
2,родитель,0.0027127902
2,жирный,0.002685983
2,выгнать,0.002671037
2,командировка,0.0026708918
2,лень,0.0026667782
2,абсолютно,0.0026461463
2,клетка,0.002612492
2,знание,0.002598921
2,пол,0.0025917476
2,лечение,0.0025194788
2,месяц,0.0024989075
2,документ,0.0024669094
2,ворота,0.0023910427
2,попасть,0.002389571
2,мочь,0.0023435634
2,конфета,0.0023205085
2,дискотека,0.0023195632
2,час,0.0023160176
2,работа,0.0022840612
2,боль,0.002247126
2,пробка,0.0022463277
2,искусство,0.0022362797
2,таксист,0.0022245047
2,страница,0.0022218274
2,отстать,0.0022128765
2,общаться,0.0021996822
2,лёд,0.0021776422
2,друг,0.0021753965
2,зверь,0.0021651178
2,приставать,0.002146012
2,футболист,0.0021298255
2,труп,0.0020957135
2,проглотить,0.0020643706
2,памятник,0.0020525088
2,громкий,0.0020447343
3,россия,0.04461075
3,ночь,0.021347193
3,кто-то,0.017976334
3,интернет,0.012355325
3,назвать,0.012354422
3,гость,0.0113209905
3,сторона,0.010202862
3,автомобиль,0.009484977
3,правильно,0.008977983
3,вместе,0.00819408
3,случиться,0.008102021
3,поехать,0.007384149
3,лёгкий,0.007103679
3,..,0.0070288894
3,дорога,0.0068769553
3,путин,0.0066913916
3,сша,0.0065016677
3,красный,0.005985226
3,россиянин,0.0056894985
3,алкоголь,0.005385367
3,принимать,0.005369893
3,собраться,0.0052652885
3,деревня,0.0051416005
3,страна,0.0051374477
3,целый,0.0051011113
3,бегать,0.0050833137
3,убрать,0.0050464165
3,запомнить,0.0050318283
3,качество,0.004984862
3,победить,0.0049275975
3,начаться,0.004829737
3,принцип,0.0045558377
3,уважаемый,0.0045001293
3,свободный,0.004493137
3,сэр,0.004436139
3,штирлиц,0.004323302
3,результат,0.0043198145
3,сиська,0.0041343994
3,сигарета,0.004058122
3,никакой,0.0038625386
3,коньяк,0.0038453583
3,цирк,0.0035752957
3,научить,0.0035445755
3,слабый,0.003458684
3,дарить,0.0034518738
3,гинеколог,0.0034263842
3,сообщить,0.00340263
3,cекc,0.0033176076
3,товар,0.00325904
3,получить,0.0032477626
3,песок,0.0031668164
3,равно,0.003142905
3,бросать,0.0030427559
3,тяжёлый,0.00302643
3,военкомат,0.0029988461
3,ситуация,0.0029959867
3,роддом,0.002936123
3,страдать,0.0029308563
3,полицейский,0.0028325873
3,заболеть,0.0027825828
3,сообщение,0.0027669538
3,сломать,0.00275602
3,свидание,0.0027285535
3,капуста,0.0026029712
3,крокодил,0.0025885296
3,гореть,0.0025811084
3,согласиться,0.002538319
3,засыпать,0.0025010738
3,количество,0.0024742526
3,во-первых,0.002463314
3,плавать,0.002410996
3,сразу,0.0023972453
3,произнести,0.0023945111
3,заменить,0.0023876715
3,драться,0.0023809597
3,нынешний,0.0023623987
3,дважды,0.0023537362
3,пожар,0.0023468987
3,узнавать,0.0023432118
3,машина,0.0023324771
3,во-вторых,0.0023224314
3,взятка,0.0023190605
3,лох,0.0022782602
3,игрушка,0.0022774443
3,редкий,0.0022559848
3,наташа,0.0022474618
3,мой,0.0022258486
3,заводить,0.002223573
3,бл_ть,0.0021724636
3,март,0.0021540183
3,нажраться,0.0020884292
3,оля,0.002079949
3,лондон,0.0020687284
3,гладить,0.0020595358
3,весь,0.0020578874
3,прекратить,0.0020528438
3,70,0.0020510936
3,предложить,0.0020477055
3,рак,0.0020301186
3,подняться,0.0019408162
4,спать,0.021386987
4,вопрос,0.018021684
4,украина,0.014109615
4,ответ,0.013583272
4,нет.-,0.010436502
4,быстро,0.010323135
4,минута,0.010180263
4,вещь,0.010131803
4,вечер,0.009833518
4,да.-,0.008968288
4,появиться,0.008013416
4,телевизор,0.0077097937
4,рождение,0.00717227
4,успеть,0.0067955735
4,хватать,0.0067485035
4,бить,0.006635816
4,бар,0.0063630394
4,петрович,0.006271268
4,понравиться,0.006003068
4,член,0.0059321388
4,номер,0.0058594695
4,земля,0.0058389874
4,использовать,0.005762868
4,нормально,0.0057259314
4,поезд,0.00544049
4,слон,0.0053541106
4,одновременно,0.0052985908
4,2,0.0052871285
4,держать,0.005272162
4,рассказывать,0.00522119
4,проститутка,0.0048565194
4,захотеть,0.0048362403
4,новый_русский,0.004701904
4,доченька,0.0046867975
